album,released,name,text
"Gilgamesh
      ",1992,Acque Letali,Gloria Æterna dona eis requiem
"Fleurs
      ",1999,Ed io tra di voi,Lui di nascosto osserva te Tu sei nervosa vicino a me Lui accarezza lo sguardo tuo Tu ti abbandoni al gioco suo Ed io tra di voi se non parlo mai Ho visto già tutto quanto Ed io tra di voi capisco che ormai La fine di tutto é qui Lui sta spiando che cosa fai Tu l'incoraggi perché lo sai Lui sa tentarti con maestria Tu sei seccata che io ci sia Ed io tra di voi se non parlo mai Osservo la vostra intesa Ed io tra di voi nascondo così L'angoscia che sento in me Lui di nascosto sorride a te Tu parli forte chissà perché Lui ti corteggia malgrado me Tu ridi troppo hai scelto già Ed io tra di voi se non parlo mai Ho gonfio di pianto il cuore Ed io tra di voi da solo vedrò La pena che cresce in me
"Caffè De La Paix
      ",1993,Fogh In Nakhal,"Leo dentro de tus ojos cuàntas veces has vivido En el trazo de la boca si eres dispuesto al odio, o a la indulgencia En el rasgo de tu nariz si eres orgulloso, fiero o vil Los dramas de tu alma los leo en tus manos Y en tus falanges dispendio o tacanerìa Sé còmo rìes, còmo te sientes, sé còmo haces el amor Cuando te enfadas si te inclinas al rencor o a la lealtad En cosas que no sabes y no entiendes Si eres presumido o humilde En los arcos de las unas, si eres un puro, un àvido o un mezquino Pero si te sientes mal, dirigete al senor Créeme, somos nada, miseros arroyos sin fuente Veo cuando caminas si eres vano, fràgil o indefeso Sé còmo hablas y escuchas, el grado de consciencia En los mùsculos del cuello, en los oìdos El tipo de tensiòn y de cierres Del sexo y de la pelvis si eres màs ombre o mujer Vivir veinte o cuarenta anos màs es lo mismo Dificil entender lo que es justo Y que el eterno no ha tenido origen Porque la mente nuestra es temporal Y el cuerpo vive justamente sòlo esta vida Pero si te sientes mal dirìgete al senor Créeme, somos nada, mìseros arroyos sin fuente Si te sientes maldirìgete al senor Créeme, somos nada, mìseros arroyos sin fuente"
"Ferro Battuto
      ",2001,Running against the grain,Running against the grain Running through the rain Ho attraversato la vita inferiore Seguendo linee per moto contrario Sfruttando per le mie vele Flussi di controcorrente Cercando sempre le cause Che mi hanno insegnato ad andare Con disciplina anche contro le mie inclinazioni From time to time I remember your face so near to me Marmoree scogliere lontane Spezzano ogni forza in mille spume L’odore domina sovrano il profumo delle cose In verità non mi sono mai legato e adesso La mia vita fugge in diagonale Ritorna prepotentemente un desiderio morale La mia vita cerca fughe in diagonale Per accelerare le calde influenze del sole I remember your face so near to me Osservo la mia condizione Il mio prezioso ed alterno passato Le mie bizzarre imprese Sono mercurio colorato Un salto oltre ciò che abbassa Pinna in altro mare e intanto La mia vita fugge in diagonale Ritorna prepotentemente un desiderio morale La mia vita cerca fughe in diagonale Per accelerare le calde influenze del sole Never look in backward My heart is beating with you Running to tomorrow And my wild heart is beating As much but never broken Indipendente la mia vita fugge Yeah my wild heart is beating As much but never broken Indipendente la mia vita fugge Listen to tomorrow
"Inneres Auge - Il tutto è più della somma delle sue parti
      ",2009,L'incantesimo,"Il cielo mi sembra di lacca e madreperla Che l'orizzonte adorna La costellazione del camaleonte emana poca luce È insignificante Dal sud affolla il vespertino E inonda di colori il giorno Per me, che amo quello che non è Salta dalla fantasia e via per il mondo, via per il mondo La corona boreale che Bacco scagliò verso l'ignoto Verso l'infinito Il sud inonda di colori il giorno Per me, che amo quello che non è L'incantesimo di perdute esistenze che non saranno mai Le speranze di presenze intorno a noi L'incantesimo che ama quello che non è"
"Echoes of Sufi Dances
      ",1985,La estación de los amores,"La estación de los amores, viene y va Y los deseos no envejecen a pesar de la edad Si pienso en cómo he malgastado yo mi tiempo Que no volverá, no regreserá, más La estación de los amores, viene y va Y llegará sin avisar, ya verás, te sorprenderá Tuvimos tantas ocasiones, perdiéndolas No las llores más, no las llores hoy, más Le queda un nuevo entusiasmo por latir al corazón Y otra posibilidad de conocerse Los horizontes perdidos no regresan jamás La estación de los amores, volverà Con el temor y las apuestas, y esta vez cuánto durará Si pienso en cómo he malgastado yo mi tiempo Que no volverá, no regresará, más Tuvimos tantas ocasiones, perdiéndolas No las llores más, no las llores hoy, más Le queda un nuevo entusiasmo por latir al corazón Y otra posibilidad de conocerse Los horizontes perdidos no regresan jamás La estación de los amores, viene y va Y los deseos no envejecen, a pesar de la edad Si pienso en cómo he malgastado yo mi tiempo Que no volverá, no regresará, más..."
"Joe Patti's Experimental Group
      ",2014,Klavier,[Brano strumentale]
"Fleurs
      ",1999,Te lo leggo negli occhi,Finirà me l'hai detto tu Ma non sei sincera Te lo leggo negli occhi Hai bisogno di me Forse vuoi dirmi ancora no Ma tu hai paura Te lo leggo negli occhi stai soffrendo per me E nei tuoi occhi che piangono Mille ricordi non muoiono Perdonami se puoi E resta insieme a me Tra di noi forse nascerà Un amore vero Te lo leggo negli occhi Tu lo leggi nei miei Ma non sei sincera Te lo leggo negli occhi Stai soffrendo per me E nei tuoi occhi che piangono Mille ricordi non muoiono Perdonami se puoi E resta insieme a me Tra di noi forse nascerà Un amore vero Te lo leggo negli occhi Tu lo leggi nei miei
"Giubbe Rosse
      ",1989,Centro di gravità permanente,"[Strofa 1] Una vecchia bretone Con un cappello e un ombrello di carta di riso e canna di bambù Capitani coraggiosi Furbi contrabbandieri macedoni Gesuiti euclidei Vestiti come dei bonzi per entrare a corte degli imperatori Della dinastia dei Ming [Ritornello: Franco Battiato & Coro] Cerco un centro di gravità permanente Che non mi faccia mai cambiare idea sulle cose sulla gente Avrei bisogno di... Cerco un centro di gravità permanente Che non mi faccia mai cambiare idea sulle cose sulla gente Over and over again [Strofa 2] Per le strade di Pechino erano giorni di maggio Tra noi si scherzava a raccogliere ortiche Non sopporto i cori russi La musica finto-rock, la new wave italiana, il free jazz punk inglese Neanche la nera africana [Ritornello: Franco Battiato & Coro] Cerco un centro di gravità permanente Che non mi faccia mai cambiare idea sulle cose sulla gente Avrei bisogno di... Cerco un centro di gravità permanente Che non mi faccia mai cambiare idea sulle cose sulla gente Over and over again [Outro] Uh... wo-cciuwariwari wo-cciuwariwari You are a woman in love Baby I need your love I want your love Over and over again Come in into my life Baby, I want to give you my soul Baby, I need your love I need..."
"Fisiognomica
      ",1988,L'Oceano di Silenzio,"Un Oceano di Silenzio scorre lento Senza centro né principio Cosa avrei visto del mondo Senza questa luce che illumina I miei pensieri neri (Der Schmerz, der Stillstand des Lebens Lassen die Zeit zu lang erscheinen) Quanta pace trova l'anima dentro Scorre lento il tempo di altre leggi Di un'altra dimensione E scendo dentro un Oceano di Silenzio Sempre in calma (Und mir scheint fast Dass eine dunkle Erinnerung mir sagt Ich hatte in fernen Zeiten Dort oben oder in Wasser gelebt)"
"Fisiognomica
      ",1988,Veni l'autunnu,Stammu un pocu all'umbra Cca c'è troppu suli... Veni l'autunnu Scura cchiù prestu L'albiri peddunu i fogghi E accumincia a scola Da mari già si sentunu i riuturi E a mari già si sentunu i riuturi Mo patri m'insignau lu muraturi Pi nan sapiri leggiri e scriviri è inutili ca 'ntrizzi E fai cannola Lu santu è di mammuru E nan sura Sparunu i bummi Supra a Nunziata 'n cielu fochi di culuri 'n terra aria bruciata E tutti appressu o santu 'nda vanedda Sicilia bedda mia Sicilia bedda Chi stranu e cumplicatu sintimentu Gnonnu ti l'aia diri Li mo peni Cu sapi si si in gradu di capiri No sacciu comu mai Ti vogghiu beni Messmuka issmi khalifa Adrussu 'allurata al 'arabiata Likulli schain uactin ua azan.(2 volte) Likulli helm muthabir amal Likulli helm muthabir amal
"Fleurs
      ",1999,La canzone dell'amore perduto,"Ricordi sbocciavano le viole Con le nostre parole: ""non ci lasceremo mai Mai e poi mai"" Vorrei dirti, ora, le stesse cose Ma come fan presto, amore Ad appassire le rose Così per noi L'amore che strappa i capelli é perduto ormai Non resta che qualche svogliata carezza E un pò di tenerezza E quando ti troverai in mano Quei fiori appassiti Al sole di un aprile Ormai lontano li rimpiangerai Ma sarà la prima Che incontri per strada Che tu coprirai d'oro Per un bacio mai dato Per un amore nuovo E sarà la prima che incontri per strada Che tu coprirai d'oro Per un bacio mai dato Per un amore nuovo"
"Il Vuoto
      ",2007,Io chi sono?,Io sono. Io chi sono? Il cielo è primordialmente puro ed immutabile Mentre le nubi sono temporanee Le comuni apparenze scompaiono Con l'esaurirsi di tutti i fenomeni Tutto è illusorio privo di sostanza Tutto è vacuità E siamo qui ancora vivi di nuovo qui Da tempo immemorabile Qui non si impara niente sempre gli stessi errori Inevitabilmente gli stessi orrori da sempre come sempre Però in una stanza vuota la luce si unisce allo spazio Sono una cosa sola inseparabili La luce si unisce allo spazio in una cosa sola Io sono. Io chi sono? La luce si unisce allo spazio in una cosa sola indivisibili Io sono. Io chi sono?
"Gilgamesh
      ",1992,Il re di Uruk,[Soprano & Baritono] Il re di Uruk sfida le forze oscure della foresta al fianco di Enkidu. Trema la terra e freme ignara della sorte del combattimento è buio e luce insieme.
"Fleurs 2
      ",2008,Del suo veloce volo,"E chissà dove sarai amico Ripensandoti ti rivedo in me La visione che avevi dell’amore La tua ironia, e chissà dove sarai Spesso da ragazzi passavamo insieme Sere inutili e fu in un giorno di Festa per gioco lo so, io lo so Lessi nella tua mano, vidi sulla mano La tua fine... E così oggi, dalla mia memoria Scelgo il meglio della vita E del suo veloce volo Che finisce come, sempre accade Troppo presto Qualcosa un po’ di te Mi è rimasto dentro Indimenticabile per gioco Lo so io lo so Lessi nella tua mano Vidi sulla mano La tua fine..."
"Foetus
      ",1999,Energy,I've bought a lot of women in my life On all the beds I've left a lot of sweat How many unwanted children have gone down the drain Closed in cement pipes and finished by the water If a child understood that by chance It is born a chance in a milion He would understand all the dreams that life offers He would live each illusion full of joy full confusion How many tears I've shed without weaping How much hatred I've given just to enjoy a little bit more
"Ferro Battuto
      ",2001,Primer origen,Fué nefasta y temible la edad del tiempo De profunda e irremediable pobreza Todavìa non se distinguìa la aurora del atardecer Cuando el aire del primer origen Mezclada con turbia e inestable humedad Al fuego y la furia de los vientos Celaba cielo y astros Como puede la vista soportar La matanza de seres que penden Degollados y hechos trizas No repugna al gusto beber humores y sangre La carne en asadores cruda Y habìa un sonido de vacas No es monstruoso el poder desear alimentarse De otro ser que emite aùn sonidos Sobrevieven los ritos di sarcofagia y canibalismo Fué nefasta y temible la edad del tiempo De profunda e irremediable pobreza Todavìa non se distinguìa la aurora del atardecer Cuando el aire del primer origen Mezclada con turbia e inestable humedad Al fuego y la furia de los vientos Celaba cielo y astros Sobrevieven los ritos di sarcofagia y canibalismo
"Caffè De La Paix
      ",1993,Ricerca sul terzo,"Mi siedo alla maniera degli antichi Egizi Coi palmi delle mani Dolcemente stesi sulle gambe E il busto eretto e naturale Un minareto verso il cielo Cerco di rilassarmi e abbandonarmi Tanto da non avere più tensioni O affanni Come se fossi entrato in pieno sonno Ma con i sensi sempre più coscienti e svegli E un grande beneficio Prova il corpo, il cuore e la mia mente Che spesso ai suoi pensieri m'incatena Mi incatena Somma la vista Ad occhi chiusi Sottrai la distanza E il terzo scoprirai Che si espande e si ritrova Dividi la differenza"
"Inneres Auge - Il tutto è più della somma delle sue parti
      ",2009,'U cuntu,[Strofa 1] ‎’U sennu Stamu piddennu ’u sennu Ti ni stai accuggennu Unni stamu jennu a finiri ‎’Ccu stu munnu ca sta ’mpazzennu Luceunu ’i stiddi dda La’ luntanu supra ’u mari Li cosi cari parunu cchiù beddi Nan sacciu cchi fu a ieri visti ’a motti Addummisciuta ’nda ’na gnuni Nan si uosi arrusbigghiari [Outro] Hic et nunc non habeo dispositionem mentis Latus mundi insanus est Malus imbutus malis libidinibus.‎
"Genesi
      ",1987,Aria spirito fuoco coscienza,[Coro] Aria spirito Fuoco coscienza Acqua sangue Terra carne
"Genesi
      ",1987,Cerco un giardino,"[Soli] Cerco un giardino dove morire: Pietre, comete scure Arcangeli in penombra In un altro mondo Cerco un giardino dove morire: Pietre, comete scure Arcangeli in penombra In un altro mondo"
"Apriti Sesamo
      ",2012,Apriti Sesamo,"Apriti Sesamo, apriti Sesamo, apriti Sesamo Sorrideva Sherazade e i suoi denti, come fili di perle Come chicchi di grandine, come fiori Scintillavano al sole per la grandezza di Allah Dalla sua bocca, le più belle fiabe trovavano vita per il Re Cominciò così, la bella a raccontare di Alì Babà e dei 40 ladroni Apriti Sesamo, apriti Sesamo, apriti Sesamo Alì aveva seguito, di nascosto, come un'ombra, una banda di ladri, camminavano nel bosco in fila indiana Arrivarono davanti ad una grande grotta, nascosta da cespugli. Il loro capo imperioso ordinò Sesamo apriti... la roccia girò su se stessa e come porta si spalancò: monete d'oro, pietre preziose, sciabole scintillanti e tappeti di Bukara Orci di vino pregiato, vasi pieni di luce lunare che illuminavano attorno per il piacere degli occhi Quando i ladri si allontanarono al galoppo, ed erano ormai lontani Alì Babà si fece coraggio... e si avvicinò alla grande grotta, impaurito e tremante ripetè la formula magica: Sesamo apriti La roccia girò su se stessa e come porta si spalancò A quel punto, sorto il giorno, Sherazade si interruppe e la fiaba finì"
"Apriti Sesamo
      ",2012,Un irresistibile richiamo,"Era magnifico quel tempo, com'era bello Quando eravamo collegati, perfettamente Al luogo e alle persone che avevamo scelto Prima di nascere Il tuo cuore è come una pietra coperta di muschio Niente la corrompe Il tuo corpo è colonna di fuoco affinchè Arda, e faccia ardere Le mie braccia si arrendono facilmente Le tue ossa non sentono dolore I minerali di cui siamo composti Tornano, ritornano all'acqua Un suono di campane Lontano, irresistibile, il richiamo Che invita alla preghiera del tramonto Gentile è lo specchio, guardo e vedo Che la mia anima ha un volto Ti saluto divinità della mia terra... Il richiamo mi invita"
"Ferro Battuto
      ",2001,Vida en diagonal,Running against the grain Running through the rain He atraversado la vida inferior Siguendo lineas y trazos contrarios Usando para mis velas flujos de contracorriente Buscando siempre las causas Que me han ensenado a andar Con disciplina aunque contra Mis proprias inclinaciones From time to time I remember your face so near to me Marmorea escollera lejana Rompe cada fuerza en mil espumas Dominan reyes los olores El perfume de las cosas Pero en verdad no he querido nunca atarme Y ahora veo mi vida que huye en diagonal Y vuelve prepotentemente en mi un deseo moral Busco en esta vida fugas en diagonal Para dar màs fuerza al fuego que emana del sol I remember your face so near to me Observo de cerca mi estado Mi màs precioso y alterno pasado Mis màs bravas empresas Soy el mercurio coloreado Unsalto que està por encima De aleta en alto mar Y ahora veo mi vida que huye en diagonal Y vuelve prepotentemente en mi un deseo moral Esta vida busca fugas en diagonal Para dar màs fuerza al fuego que emana del sol Never look in backward My heart is beating with you Running to tomorrow And my wild heart is beating As much but never broken Toda mi vida independiente huye Yeah my wild heart is beating As much but never broken Toda mi vida independiente huye Listen to tomorrow
"Come Un Cammello In Una Grondaia
      ",1991,Gestillte Sehnsucht,"Torneranno di nuovo le piogge riapriranno le scuole Cadranno foglie lungo i viali E ancora un altro inverno Che porterà la neve e un'altra primavera E tu che fai di sabato in questa città Dove c'è gente che lavora, per avere un mese all'anno di ferie E poi nel bene, nel male, è una questione sociale Coatti nella convivenza, affrontiamo il progresso coi nostri problemi di sesso Hare, Hare, Hare Krisna, Hare, Hare, Hare Krisna Torneremo di nuovo ai progetti riguardo al nostro futuro Guardando annunci sui giornali Girando per le agenzie E avremo nuovi amici Vicini a nuovi amori E poi soli di sabato In questa città dove c'è gente che lavora Nelle fabbriche in negozi dietro a scrivanie"
"Mondi Lontanissimi
      ",1985,Chan-son egocentrique,"Avenue Park My life in the dark I with me Do you smile For arabian style I like hit Miami Beach boys Children with toys Across the universe Chan-son egocentrique Self centred song Chan-son egocentrique Self centred song Chi sono, dove sono Quando sono assente di me Da dove vengo, dove vado Dalla pupilla viziosa delle nuvole La luna scende i gradini di grattacieli Per prendermi la vita Chan-son egocentrique ... Central Park I love in the dark Ich bin klein People sang Around the campfire ground I remember Prehistoric sound Was the time of the dinosaur age Oh, nein Chan-son egocentrique ... Mi dice Sui seni nudi muoio d'amore Quando vedrai la mia ragazza Dille che io l'amo Chan-son egocentrique ..."
"Foetus
      ",1999,Mutation,Thousands of years of sleep have blocked me in my cradle And now I retur Something changed I'm not aware of signals of life And yet I'm aware of vibrations What will my eyes see next There will be stone bodies I hear them coming I hear them coming There will be stone bodies I hear them coming I hear them coming
"Dieci Stratagemmi
      ",2004,Odore di polvere da sparo,È vero che sul Mar Nero sul mare nero Le rose fioriscono tre volte? E' vero che le colonne doriche Vanno in briciole e si sente parlare di distanze Per andare ad Alessandria d'Egitto? Fasto della vecchia Europa L'odore di polvere da sparo Sparso per quartieri mentre una banda Accompagna le reliquie della santa Impulsi religiosi dell'Occidente. Accidente Le truppe schierate di fronte A un ordine sparano i fucili Le prime file cadono a pioggia Il fumo si addensa al sudore (La parte sinistra di Baku Guardando il porto) L'odore di polvere da sparo ... La parte sinistra di Baku Guardando il porto È la vedetta
"Dieci Stratagemmi
      ",2004,23 coppie di cromosomi,To be a kangaroo To be a spider Metamorphosis is coming
"Dieci Stratagemmi
      ",2004,Ermeneutica,Eiacula precocemente l'impero Tornano i vecchi testamenti Gli stati mostri si avventano sui regimi fascisti Tensioni di tensioni di frustrazioni si manifestano Nel nostro seme si nascondono si riproducono germi di desideri infetti In my dreams I see you in a different way The emotional colours of life are changing completely Sometimes we need to expel our seed Where tensions of tensions hide Mostruosa creatura (human virus) Il suo nome è fanatismo Solo quando il sacro parla (human virus) L'eccelso prende forma (human virus is coming inside us) Deus est filius dei Tutte le macchine al potere gli uomini a pane ed acqua And what is cosmos? what is the meaning of the word? History is bunk Eiacula precocemente l'impero Ritorna il circolo dei combattenti Gli stati servi si inchinano a quella scimmia di presidente S'invade si abbatte si insegue si ammazza il cattivo Si inventano democrazie A monstrous creature its name fanaticism (human virus) When the consecrated word speaks Magnificence takes form And now I am far from you Now I’m far from you And now I am far from you Now I’m far from you
"Foetus
      ",1999,Foetus,I wasn't yet born And I felt the heartheat And that my life Was born in hate I drag myself slowly Inside the human body Down thru the veins Going to my falth
"Mondi Lontanissimi
      ",1985,Risveglio di primavera,La presenza dell'artiglieria Nei paesi del meridione Uniti nella lotta allo straniero Sotto il Regno delle Due Sicilie E i movimenti prevedibili Delle truppe in finte battaglie L'odore della polvere da sparo E voci dallo stretto di Messina Sentimenti occulti tra noi Mi innamorai Seguendo i ritmi del cuore E mi svegliai in primavera Notti bianche per i Saraceni Ch'erano di facili costumi Locande chiuse ai Greci e agli Spagnoli Nei dintorni di Catania E i movimenti irresistibili Dei bacini delle ragazze Vedere ballare il flamenco Era un'esperienza sensualissima Sentimenti occulti tra noi Mi innamorai Seguendo i ritmi del cuore E mi svegliai in primavera Risveglio di primavera
"L'Ombrello E La Macchina Da Cucire
      ",1995,Gesualdo da Venosa,"Io, contemporaneo della fine del mondo Non vedo il bagliore Né il buio che segue Né lo schianto Né il piagnisteo Ma la verità Da miliardi di anni Farsi lampo Concerto n° 4 in do minore Per archi di Baldassarre Galuppi (te, piccolo, minutissimo Mazzetto di fiori di campo) La settima frase di Ornithology L'ultima, prima della cadenza e dal da capo Via, il noto balzo da uccello, sull'ultima nota Di Charlie... (Pensiero causale - Imperativo categorico - Ferma distinzione dell'uomo dall'animale Teorema adiabatico!) I madrigali di Gesualdo, principe di Venosa Musicista assassino della sposa - Cosa importa? Scocca la sua nota Dolce come rosa"
"Apriti Sesamo
      ",2012,Quand'ero giovane,"Quand'ero giovane andavo a letto tardi, sempre, vedevo l'alba Dormivo di giorno e mi svegliavo nel pomeriggio... ed era sera Era già sera La notte, non mi piace tanto, l'oscurità è ostile a chi ama la luce Si accavallano i giorni come onde, ci sovrastano Le cattive notizie, in questi tempi di forti tentazioni Ci sommergono Dobbiamo seguire la nostra coscienza e le sue norme Viva la Gioventù, che fortunatamente passa Senza troppi problemi Vivere è un dono che ci ha dato il Cielo Uscendo dai locali, mi capitava di vedere code di macchine, sostare Al Parco Ravizza o al Monumentale. La merce era il sesso Compravano sesso, e spesso diverso Viva la Gioventù, che fortunatamente passa Senza troppi problemi Vivere è un dono che ci ha dato il Cielo Andavamo a suonare nelle sale della Lombardia, e c'era Un'atmosfera eccezionale, la domenica, di pomeriggio, in quelle Balere, si divertivano a ballare, operai e cameriere Era passata un'altra settimana"
"Fleurs
      ",1999,Invito al viaggio,"[Strofa 1: Manlio Sgalambro] Ti invito al viaggio In quel paese che ti somiglia tanto I soli languidi dei suoi cieli annebbiati Hanno per il mio spirito l'incanto Dei tuoi occhi quando brillano offuscati Laggiù tutto è ordine e bellezza Calma e voluttà Il mondo s'addormenta in una calda luce Di giacinto e d'oro Dormono pigramente i vascelli vagabondi Arrivati da ogni confine Per soddisfare i tuoi desideri [Strofa 2: Franco Battiato] Ti invito al viaggio In quel paese che ti somiglia tanto I soli languidi dei suoi cieli annebbiati Hanno per il mio spirito l'incanto Dei tuoi occhi quando brillano offuscati Laggiù tutto è ordine e bellezza Calma e voluttà Il mondo s'addormenta in una calda luce Di giacinto e d'oro Dormono pigramente i vascelli vagabondi Arrivati da ogni confine Per soddisfare i tuoi desideri, i tuoi desideri [Outro] Le matin j'écoutais Les sons du jardin La langage des parfums Des fleurs"
"Fleurs
      ",1999,Che cosa resta,Chissà cosa mormora il vento Stasera col suo lamento Dietro la porta laggiù Di già il caminetto s'é spento Io chiudo gli occhi e rammento Gli amori di gioventù Di voi che resta antichi amori Giorni di festa teneri ardori Solo una mesta Foto ingiallita fra le mie dita Di voi che resta sguardi innocenti Lacrime e risa e giuramenti Solo sepolto in un cassetto qualche biglietto Sere d'aprile sogni incantati Capelli al vento baci rubati Che resta dunque di tutto ciò ditemi un pò Rivedo un viso mormoro un nome Ma non ricordo quando né come Penso a un villaggio dove non so se tornerò Mai più mano con mano nel buio Stupiti d'essere due felici senza perché Mai più fiori nascosti nel libro Il cui profumo ci inebria ma presto evapora ahimé Di voi che resta antichi amori Grandi segreti complici cuori Solo nel petto male guarita una ferita Di voi che resta parole audaci carezze caste timide braci Solo una cenere che più non fuma ma si consuma Chiari di luna dolci sentieri e tu perduta anima di ieri Perché sparisti chi ti rubò dimmelo un pò Solo un motivo risento ancora d'un fuggitivo disco d'allora E a un luogo penso dove non so se tornerò
"Campi Magnetici - 1 num3r1 non 51 possono amar3
      ",2000,Corpi in movimento,"[Lettura di Manlio Sgalambro] A corpi in movimento ad asimmetrie che paiono non essere aderenti ai fenomeni Si pensi per esempio alle interazioni elettrodinamiche tra un magnete e un conduttore Il fenomeno osservabile dipende qui solo dal moto relativo fra magnete e conduttore Mentre secondo il consueto modo di vedere sono da tenere rigorosamente distinti i due casi Che l'uno o l'altro di questi corpi sia quello mosso Infatti, se si muove il magnete e rimane fisso il conduttore Si produce nell'intorno del magnete Un campo elettrico di certi valori di energia il quale Provoca una corrente nei luoghi ove si trovano parti del conduttore Rimane invece fisso il magnete e si muove il conduttore Non si produce nell'intorno del magnete alcun campo elettrico Ma al contrario si produce nel conduttore una forza elettromotrice Alla quale non corrisponde per sé alcuna energia [Interludio] Volatile components for the existence of non-gravitational forces This structure explains how large parts of a comet [Lettura di Manlio Sgalambro] In una lettera a Frege, Hilbert comunque aveva scritto: ""Se io, come miei punti, penso quali si vogliano sistemi di cose Per esempio il sistema amore, legge, spazzacamino..., E poi non faccio altro che assumere tutti i miei assiomi come relazioni tra tali cose Allora le mie proposizioni, per esempio il teorema di Pitagora, valgono anche per queste cose Il retaggio di un universo dotato di senso Nobilmente dato all'intuizione da un'unica matematica e da un'unica geometria Viene sconvolto da siffatta matematica La quale può asserire qualsiasi cosa e questo universo in quanto qualsiasi [Lettura di Manlio Sgalambro] E' la matematica il linguaggio odierno, non le grida scomposte Essa è il coro dei sopravvissuti Il ""latino"" con cui l'uomo d'oggi celebra la liturgia dell'estinzione senza capirci granchè I numeri non si possono amare"
"Fleurs
      ",1999,Era de maggio,"Era de maggio, e te cadeono 'nzino A schiocche a schiocche li ccerase rosse... Fresca era ll'aria e tutto lu ciardino Addurava de rose a ciente passe Era de maggio - io, no, nun me ne scordo - 'na canzone contàvemo a ddoie voce: Cchiù tiempe passa e cchiù me n'allicordo Fresca era ll'aria e la canzone doce E diceva: ""Core, core! Core mio luntano vaie: Tu me lasse e io conto l'ore Chi sa quanno turnarraie!"" Rispunnev'io: ""Turnarraggio Quanno tornano li rose Si stu sciore torna a maggio Pure a maggio io stonco ccà"" E sò turnato, e mò, comm'a na vota Cantammo nzieme lu mutivo antico; Passa lu tiempo e lu munno s'avota Ma ammore vero, no, nun vota vico De te, bellezza mia, m'annammuraie Si t'allicuorde, nnanze a la funtana: L'acqua llà dinto nun se secca maie E ferita d'ammore nun se sana Nun se sana; ca sanata Si se fosse, gioja mia Mmiezo a st'aria mbarzamata A guardarte io nun starria! E te dico: - Core core! Core mio, turnato io sò Torna maggio e torna ammore Fa de me chello che vuò!"
"L'Imboscata
      ",1996,Amata solitudine,"A quel tempo tu stavi, sicura di te, della tua logica Guidando e parlando ininterrottamente... Ed io, che già non ti ascoltavo più, come ipnotizzato Seguivo gli occhi che seguivano i colori I raggi elettrici della città Chissà cos'è quel moto che ci unisce e ci divide E quel parlare inutilmente delle nostre incomprensioni Per certi passeggeri malumori Amata solitudine Isola benedetta A quel tempo di te, amavo il tuo pensiero logico E quella linea perfetta del baciare La simmetria delle tue carezze; Vivificato dal chiarore vibrante di sapore: Scintilla di una mente universale Ero in te come un argomento del tuo amore sillogistico Conclusione di un ragionamento Ma mi piaceva essere così Avviluppato dai tuoi sensi artificiali Ora sono come fluttuante... Amata solitudine Isola benedetta Così è finita, mi stacco da te Da solo continuo il viaggio Rivedo daccapo il cielo colorato di sole Di nuovo vivo The light comes over the night I open my eyes without you"
"Gilgamesh
      ",1992,Quarto Viaggio,[Strumentale]
"Orizzonti Perduti
      ",1983,Gente in progresso,"Torneranno di nuovo le piogge riapriranno le scuole Cadranno foglie lungo i viali E ancora un altro inverno Che porterà la neve e un'altra primavera E tu che fai di sabato in questa città Dove c'è gente che lavora, per avere un mese all'anno di ferie E poi nel bene, nel male, è una questione sociale Coatti nella convivenza, affrontiamo il progresso coi nostri problemi di sesso Hare, Hare, Hare Krisna, Hare, Hare, Hare Krisna Torneremo di nuovo ai progetti riguardo al nostro futuro Guardando annunci sui giornali Girando per le agenzie E avremo nuovi amici Vicini a nuovi amori E poi soli di sabato In questa città dove c'è gente che lavora Nelle fabbriche in negozi dietro a scrivanie"
"Apriti Sesamo
      ",2012,Passacaglia,"Ah, come ti inganni Se pensi che gli anni Non han da finire è breve il gioire .... I sani gli infermi I bravi, gli inermi è un sogno la vita Che par si gradita... Vorrei tornare indietro Per rivedere il passato Per comprendere meglio Quello che abbiamo perduto Viviamo in un mondo orribile... Siamo in cerca Di un' esistenza.... La gente è crudele E spesso infedele Nessun si vergogna Di dire menzogne I giovani, i putti Gli uomini tutti Non vale fuggire Si plachi l'ardire Vorrei tornare indietro Per rivedere gli errori Per accelerare Il mio processo interiore Ero in quinta elementare Entrai Per caso Nella mia esistenza Fatta di giorni allegri E di continue esplorazioni E trasformazioni dell'Io... Ah, come ti inganni Se pensi che gli anni Non han da finire è breve il gioire .... Vorrei tornare indietro Nella mia casa d'origine Dove vivevo prima di arrivare qui sulla Terra Entrai, per caso Nella mia esistenza Di antiche forme Di insegnamenti E trasformazioni dell'Io E trasformazioni dell'Io..."
